IR Score,IF Score
0.36944444444444446,0.39722222222222225
0.4,0.5155555555555555
0.0,0.0125
0.3363095238095238,0.19833333333333333
0.2617460317460317,0.0665079365079365
0.125,0.05
0.0,0.0
0.016666666666666666,0.0
0.6082142857142857,0.7042063492063492
0.23611111111111108,0.3
0.0,0.0
0.46333333333333326,0.2526984126984127
0.29333333333333333,0.5133333333333333
0.38416666666666666,0.4833333333333333
0.05357142857142857,0.06888888888888889
0.0,0.045
0.12222222222222223,0.07333333333333333
0.0665079365079365,0.065
0.0,0.08333333333333333
0.2980952380952381,0.09619047619047619
0.4383333333333333,0.8
0.1961904761904762,0.06472222222222221
0.09,0.2375
0.075,0.125
0.19694444444444442,0.4716666666666667
0.24603174603174605,0.0325
0.039285714285714285,0.014285714285714285
0.0125,0.0
0.22730158730158728,0.14666666666666667
0.16607142857142856,0.13285714285714284
0.06999999999999999,0.13999999999999999
0.03333333333333333,0.13333333333333333
0.15,0.16666666666666666
0.1,0.045
0.35444444444444445,0.12718253968253967
0.18285714285714286,0.19999999999999998
0.3,0.22666666666666666
0.01,0.014285714285714285
0.15,0.21666666666666665
0.05,0.0
0.21341269841269842,0.22333333333333333
0.02,0.09619047619047619
0.0,0.0
0.12083333333333332,0.1
0.0,0.0
0.016666666666666666,0.041666666666666664
0.0,0.0
0.034722222222222224,0.0
0.0325,0.01
0.17333333333333334,0.09
